target_id,target_label,target_type,short_code,relation,confidence,path
counter:api.counterapi.dev,CounterAPI (420 cites),counter,da.gd/fbKv,reachable,topology-candidate,short:da.gd/fbKv -> proxy:ntfy -> counter:api.counterapi.dev
counter:api.counterapi.dev,CounterAPI (420 cites),counter,da.gd/V0gS,reachable,topology-candidate,short:da.gd/V0gS -> proxy:httpbin-base64 -> proxy:ntfy -> counter:api.counterapi.dev
counter:api.counterapi.dev,CounterAPI (420 cites),counter,tinyurl.com/2xts5kej,reachable,topology-candidate,short:tinyurl.com/2xts5kej -> proxy:image.thum.io -> proxy:httpbin-base64 -> proxy:ntfy -> counter:api.counterapi.dev
end:aihw,viz.aihw.gov.au,endpoint,da.gd/AIkxw,reachable,topology-candidate,short:da.gd/AIkxw -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,da.gd/fbKv,reachable,topology-candidate,short:da.gd/fbKv -> proxy:ntfy -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,da.gd/lciIM,reachable,topology-candidate,short:da.gd/lciIM -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,da.gd/V0gS,reachable,topology-candidate,short:da.gd/V0gS -> proxy:httpbin-base64 -> proxy:ntfy -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,da.gd/X3kAcr,reachable,topology-candidate,short:da.gd/X3kAcr -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,da.gd/ZlqPz,reachable,topology-candidate,short:da.gd/ZlqPz -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,is.gd/MAImapnames618x,reachable,topology-candidate,short:is.gd/MAImapnames618x -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/22m5688o,reachable,topology-candidate,short:tinyurl.com/22m5688o -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/22vjdvud,reachable,topology-candidate,short:tinyurl.com/22vjdvud -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/23etx9pr,reachable,topology-candidate,short:tinyurl.com/23etx9pr -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/23hyf8gf,reachable,topology-candidate,short:tinyurl.com/23hyf8gf -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/23ozec4x,reachable,topology-candidate,short:tinyurl.com/23ozec4x -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/243p7cvp,reachable,topology-candidate,short:tinyurl.com/243p7cvp -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2458oc7f,reachable,topology-candidate,short:tinyurl.com/2458oc7f -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/27t3wvhk,reachable,topology-candidate,short:tinyurl.com/27t3wvhk -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/295gmku5,reachable,topology-candidate,short:tinyurl.com/295gmku5 -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/29ou53s8,reachable,topology-candidate,short:tinyurl.com/29ou53s8 -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/29qvy5md,reachable,topology-candidate,short:tinyurl.com/29qvy5md -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2a92y4sl,reachable,topology-candidate,short:tinyurl.com/2a92y4sl -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2aapkz5j,reachable,topology-candidate,short:tinyurl.com/2aapkz5j -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2bn572m5,reachable,topology-candidate,short:tinyurl.com/2bn572m5 -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2bt58wnv,reachable,topology-candidate,short:tinyurl.com/2bt58wnv -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2cqhrrwu,reachable,topology-candidate,short:tinyurl.com/2cqhrrwu -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2cs8e89s,reachable,topology-candidate,short:tinyurl.com/2cs8e89s -> proxy:viglink -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2xhcux8g,reachable,topology-candidate,short:tinyurl.com/2xhcux8g -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2xts5kej,reachable,topology-candidate,short:tinyurl.com/2xts5kej -> proxy:image.thum.io -> proxy:httpbin-base64 -> proxy:ntfy -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,tinyurl.com/2xz74jv4,reachable,topology-candidate,short:tinyurl.com/2xz74jv4 -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,v.gd/MAVmapnames618x,reachable,topology-candidate,short:v.gd/MAVmapnames618x -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,vanderbi.lt/jqinv11method,reachable,topology-candidate,short:vanderbi.lt/jqinv11method -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,vanderbi.lt/jqinv11raw,reachable,topology-candidate,short:vanderbi.lt/jqinv11raw -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,vanderbi.lt/jqinv11roundn,reachable,topology-candidate,short:vanderbi.lt/jqinv11roundn -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,vanderbi.lt/jqinv11rounds,reachable,topology-candidate,short:vanderbi.lt/jqinv11rounds -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:aihw,viz.aihw.gov.au,endpoint,vanderbi.lt/jqinv11tool,reachable,topology-candidate,short:vanderbi.lt/jqinv11tool -> proxy:jqp -> proxy:pure.md -> proxy:r.jina.ai -> end:aihw
end:api-la.datausa.io/complexity/rca_historical.jsonrecords,api-la.datausa.io/complexity/rca_histor…,endpoint,tinyurl.com/22t9yq8x,direct,observed,short:tinyurl.com/22t9yq8x -> end:api-la.datausa.io/complexity/rca_historical.jsonrecords
end:api-la.datausa.io/complexity/rca_historical.jsonrecords,api-la.datausa.io/complexity/rca_histor…,endpoint,tinyurl.com/2y8omm3r,direct,observed,short:tinyurl.com/2y8omm3r -> end:api-la.datausa.io/complexity/rca_historical.jsonrecords
end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1,api.datausa.io/tesseract/cubes/acs_ygps…,endpoint,is.gd/KSF87L,direct,observed,short:is.gd/KSF87L -> end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1
end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1,api.datausa.io/tesseract/cubes/acs_ygps…,endpoint,is.gd/KSF87L-,direct,observed,short:is.gd/KSF87L- -> end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1
end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1,api.datausa.io/tesseract/cubes/acs_ygps…,endpoint,da.gd/AIkxw,reachable,topology-candidate,short:da.gd/AIkxw -> proxy:jqp -> end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1
end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1,api.datausa.io/tesseract/cubes/acs_ygps…,endpoint,da.gd/lciIM,reachable,topology-candidate,short:da.gd/lciIM -> proxy:jqp -> end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1
end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1,api.datausa.io/tesseract/cubes/acs_ygps…,endpoint,da.gd/X3kAcr,reachable,topology-candidate,short:da.gd/X3kAcr -> proxy:jqp -> end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1
end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1,api.datausa.io/tesseract/cubes/acs_ygps…,endpoint,da.gd/ZlqPz,reachable,topology-candidate,short:da.gd/ZlqPz -> proxy:jqp -> end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1
end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1,api.datausa.io/tesseract/cubes/acs_ygps…,endpoint,is.gd/MAImapnames618x,reachable,topology-candidate,short:is.gd/MAImapnames618x -> proxy:jqp -> end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1
end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1,api.datausa.io/tesseract/cubes/acs_ygps…,endpoint,tinyurl.com/22m5688o,reachable,topology-candidate,short:tinyurl.com/22m5688o -> proxy:viglink -> proxy:jqp -> end:api.datausa.io/tesseract/cubes/acs_ygpsar_poverty_by_gender_age_race_1
